package,ondiskversion,loadedversion,path,loadedpath,attached,is_base,date,repo,source,md5ok,library
brew,1.0-7,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/brew,NA,FALSE,FALSE,2022-02-04,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
bridgesampling,1.1-2,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/bridgesampling,NA,FALSE,FALSE,2021-04-16,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
brio,1.1.3,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/brio,NA,FALSE,FALSE,2021-11-30,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
brms,2.16.1,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/brms,NA,FALSE,FALSE,2021-08-23,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
Brobdingnag,1.2-6,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/Brobdingnag,NA,FALSE,FALSE,2018-08-13,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
broom,0.7.9,0.7.9,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/broom,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/broom,FALSE,FALSE,2021-07-27,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
broom.helpers,1.4.0,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/broom.helpers,NA,FALSE,FALSE,2021-09-30,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
bslib,0.3.1,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/bslib,NA,FALSE,FALSE,2021-10-06,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
bsplus,0.1.3,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/bsplus,NA,FALSE,FALSE,2021-10-05,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
bstfun,0.2.8.9001,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/bstfun,NA,FALSE,FALSE,2021-11-02,GitHub,Github (ddsjoberg/bstfun@c03fcd0cf95fa31f27baa590d60dfb451a287249),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
bulletchartr,0.3.1,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/bulletchartr,NA,FALSE,FALSE,2022-04-18,GitHub,Github (ACDIVOCATech/bulletchartr@4725088ba61af2da434fc4da5e2d2752f07d2032),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
cachem,1.0.6,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/cachem,NA,FALSE,FALSE,2021-08-19,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
Cairo,1.5-12.2,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/Cairo,NA,FALSE,FALSE,2020-07-07,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
callr,3.7.0,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/callr,NA,FALSE,FALSE,2021-04-20,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
car,3.0-11,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/car,NA,FALSE,FALSE,2021-06-27,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
carbonate,0.1.4,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/carbonate,NA,FALSE,FALSE,2021-11-28,GitHub,Github (yonicd/carbonate@cccb7afd89fc48e06a1b5fa7e5c2f6a184d9e6e1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
carData,3.0-4,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/carData,NA,FALSE,FALSE,2020-05-22,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
caret,6.0-90,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/caret,NA,FALSE,FALSE,2021-10-09,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
cartogram,0.2.2,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/cartogram,NA,FALSE,FALSE,2020-08-26,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
caTools,1.18.2,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/caTools,NA,FALSE,FALSE,2021-03-28,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
cellranger,1.1.0,1.1.0,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/cellranger,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/cellranger,FALSE,FALSE,2016-07-27,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
charlatan,0.4.0,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/charlatan,NA,FALSE,FALSE,2020-01-24,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
checkmate,2.0.0,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/checkmate,NA,FALSE,FALSE,2020-02-06,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
chromote,0.0.0.9003,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/chromote,NA,FALSE,FALSE,2022-04-06,GitHub,Github (rstudio/chromote@865e24e2270afab07e587909499c4e06f03bbedf),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
class,7.3-19,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/class,NA,FALSE,FALSE,2021-05-03,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
classInt,0.4-3,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/classInt,NA,FALSE,FALSE,2020-04-07,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
cli,3.2.0,3.2.0,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/cli,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/cli,FALSE,FALSE,2022-02-14,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
cliapp,0.1.1,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/cliapp,NA,FALSE,FALSE,2020-10-07,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
clipr,0.8.0,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/clipr,NA,FALSE,FALSE,2022-02-22,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
clisymbols,1.2.0,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/clisymbols,NA,FALSE,FALSE,2017-05-21,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
cluster,2.1.2,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/cluster,NA,FALSE,FALSE,2021-04-17,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
cmdstanr,0.4.0,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/cmdstanr,NA,FALSE,FALSE,2021-10-28,local,local,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
coda,0.19-4,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/coda,NA,FALSE,FALSE,2020-09-30,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
codetools,0.2-18,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/codetools,NA,FALSE,FALSE,2020-11-04,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
collections,0.3.5,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/collections,NA,FALSE,FALSE,2020-08-10,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
colorspace,2.0-3,2.0-3,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/colorspace,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/colorspace,FALSE,FALSE,2022-02-21,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
